id,country,startingPop,area,area,,,
195,Dominica,72167,751 sq_km,751 ,,,
196,Cayman Islands,66497,264 sq_km,264 ,,,
197,Bermuda,62090,54 sq_km,54 ,,,
198,Marshall Islands,59610,181 sq_km,181 ,,,
199,Northern Mariana Islands,57917,464 sq_km,464 ,,,
200,Greenland,56877,"2,166,086 sq_km","2,166,086 ",,,
201,American Samoa,55100,199 sq_km,199 ,,,
202,Saint Kitts And Nevis,53544,261 sq_km,261 ,,,
203,Faroe Islands,49049,"1,393 sq_km","1,393 ",,,
204,Sint Maarten,43412,34 sq_km,34 ,,,
205,Monaco,39511,2 sq_km,2 ,,,
206,Saint Martin,39234,53 sq_km,53 ,,,
207,Turks And Caicos Islands,39231,948 sq_km,948 ,,,
208,Liechtenstein,38250,160 sq_km,160 ,,,
209,San Marino,34017,61 sq_km,61 ,,,
210,Gibraltar,33698,6 sq_km,6 ,,,
211,Palau,18169,459 sq_km,459 ,,,
212,Cook Islands,17565,236 sq_km,236 ,,,
213,Anguilla,15117,91 sq_km,91 ,,,
214,Tuvalu,11931,26 sq_km,26 ,,,
215,Wallis And Futuna,11094,142 sq_km,142 ,,,
216,Nauru,10876,21 sq_km,21 ,,,
217,Saint Barthelemy,9907,21 sq_km,21 ,,,
218,Saint Pierre And Miquelon,5766,242 sq_km,242 ,,,
219,Montserrat,4977,102 sq_km,102 ,,,
220,Falkland Islands,3533,"12,173 sq_km","12,173 ",,,
221,Niue,1619,260 sq_km,260 ,,,
222,Tokelau,1373,12 sq_km,12 ,,,
223,Vatican City,800,1 sq_km,1 ,,,
